"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","GetAllByUserID: Failure","","Sun Sep 29 21:56:12 MSK 2024","passed","Sun Sep 29 21:56:12 MSK 2024","","RequestPgRepoSuite","",""
"","1","Create: Success","","Sun Sep 29 21:56:11 MSK 2024","passed","Sun Sep 29 21:56:11 MSK 2024","","ManagerPgRepoSuite","",""
"","1","Update: Failure","","Sun Sep 29 21:56:14 MSK 2024","passed","Sun Sep 29 21:56:14 MSK 2024","","SignContractRequestPgRepoSuite","",""
"","0","GetAllByManager: Failure","","Sun Sep 29 21:56:11 MSK 2024","passed","Sun Sep 29 21:56:11 MSK 2024","","PublicationPgRepoSuit","",""
"","0","GetByID: Failure","","Sun Sep 29 21:56:11 MSK 2024","passed","Sun Sep 29 21:56:11 MSK 2024","","ArtistPgRepoSuite","",""
"","1","GetByID: OK","","Sun Sep 29 21:56:12 MSK 2024","passed","Sun Sep 29 21:56:12 MSK 2024","","RequestServiceSuite","",""
"","1","GetForAdmin: Success","","Sun Sep 29 21:56:11 MSK 2024","passed","Sun Sep 29 21:56:11 MSK 2024","","ManagerPgRepoSuite","",""
"","1","GetAllByArtistSinceDate: Failure","","Sun Sep 29 21:56:11 MSK 2024","passed","Sun Sep 29 21:56:11 MSK 2024","","PublicationPgRepoSuit","",""
"","0","Create: Success","","Sun Sep 29 21:56:11 MSK 2024","passed","Sun Sep 29 21:56:11 MSK 2024","","ArtistPgRepoSuite","",""
"","2","GetAllByManagerID: DBerr","","Sun Sep 29 21:56:12 MSK 2024","passed","Sun Sep 29 21:56:12 MSK 2024","","RequestServiceSuite","",""
"","1","GetAllByUserID: OK","","Sun Sep 29 21:56:12 MSK 2024","passed","Sun Sep 29 21:56:12 MSK 2024","","RequestServiceSuite","",""
"","1","GetAllByArtistSinceDate: Success","","Sun Sep 29 21:56:11 MSK 2024","passed","Sun Sep 29 21:56:11 MSK 2024","","PublicationPgRepoSuit","",""
"","1","Validate: OK","","Sun Sep 29 21:56:12 MSK 2024","passed","Sun Sep 29 21:56:12 MSK 2024","","BaseRequestSuite","",""
"","2","Validate: OK","","Sun Sep 29 21:56:12 MSK 2024","passed","Sun Sep 29 21:56:12 MSK 2024","","BaseRequestSuite","",""
"","1","Create: Failure","","Sun Sep 29 21:56:11 MSK 2024","passed","Sun Sep 29 21:56:11 MSK 2024","","ArtistPgRepoSuite","",""
"","2","Get: Success","","Sun Sep 29 21:56:11 MSK 2024","passed","Sun Sep 29 21:56:11 MSK 2024","","PublicationPgRepoSuit","",""
"","1","Apply: All Criterias OK","","Sun Sep 29 21:56:13 MSK 2024","passed","Sun Sep 29 21:56:13 MSK 2024","","CriteriaCollectionSuite","",""
"","0","GetByUserID: Failure","","Sun Sep 29 21:56:11 MSK 2024","passed","Sun Sep 29 21:56:11 MSK 2024","","ManagerPgRepoSuite","",""
"","1","Update: Failure","","Sun Sep 29 21:56:11 MSK 2024","passed","Sun Sep 29 21:56:11 MSK 2024","","ArtistPgRepoSuite","",""
"","2","Get: Success","","Sun Sep 29 21:56:11 MSK 2024","passed","Sun Sep 29 21:56:11 MSK 2024","","ArtistPgRepoSuite","",""
"","0","Create: Failure","","Sun Sep 29 21:56:11 MSK 2024","passed","Sun Sep 29 21:56:11 MSK 2024","","ManagerPgRepoSuite","",""
"","1","Apply: More than one release on that day","","Sun Sep 29 21:56:13 MSK 2024","passed","Sun Sep 29 21:56:13 MSK 2024","","OneReleasePerDayCriteriaSuite","",""
"","2","GetByID: DBerr","","Sun Sep 29 21:56:12 MSK 2024","passed","Sun Sep 29 21:56:12 MSK 2024","","RequestServiceSuite","",""
"","1","GetAllByManagerID: OK","","Sun Sep 29 21:56:12 MSK 2024","passed","Sun Sep 29 21:56:12 MSK 2024","","RequestServiceSuite","",""
"","0","GetByUserID: Success","","Sun Sep 29 21:56:11 MSK 2024","passed","Sun Sep 29 21:56:11 MSK 2024","","ManagerPgRepoSuite","",""
"","1","GetAllByDate: Success","","Sun Sep 29 21:56:11 MSK 2024","passed","Sun Sep 29 21:56:11 MSK 2024","","PublicationPgRepoSuit","",""
"","0","Get: Failure","","Sun Sep 29 21:56:11 MSK 2024","passed","Sun Sep 29 21:56:11 MSK 2024","","ManagerPgRepoSuite","",""
"","2","Update: Success","","Sun Sep 29 21:56:11 MSK 2024","passed","Sun Sep 29 21:56:11 MSK 2024","","PublicationPgRepoSuit","",""
"","0","Create: Success","","Sun Sep 29 21:56:11 MSK 2024","passed","Sun Sep 29 21:56:11 MSK 2024","","PublicationPgRepoSuit","",""
"","1","Apply: One release or less on that day","","Sun Sep 29 21:56:13 MSK 2024","passed","Sun Sep 29 21:56:13 MSK 2024","","OneReleasePerDayCriteriaSuite","",""
"","1","Update: Success","","Sun Sep 29 21:56:11 MSK 2024","passed","Sun Sep 29 21:56:11 MSK 2024","","ArtistPgRepoSuite","",""
"","1","Create: Failure","","Sun Sep 29 21:56:13 MSK 2024","passed","Sun Sep 29 21:56:13 MSK 2024","","PublishRequestPgRepoSuite","",""
"","0","Create: Failure","","Sun Sep 29 21:56:14 MSK 2024","passed","Sun Sep 29 21:56:14 MSK 2024","","SignContractRequestPgRepoSuite","",""
"","0","GetRandManagerID: Failure","","Sun Sep 29 21:56:11 MSK 2024","passed","Sun Sep 29 21:56:11 MSK 2024","","ManagerPgRepoSuite","",""
"","0","Get: Failure","","Sun Sep 29 21:56:13 MSK 2024","passed","Sun Sep 29 21:56:13 MSK 2024","","PublishRequestPgRepoSuite","",""
"","1","GetByID: Success","","Sun Sep 29 21:56:12 MSK 2024","passed","Sun Sep 29 21:56:12 MSK 2024","","RequestPgRepoSuite","",""
"","0","Update: Success","","Sun Sep 29 21:56:14 MSK 2024","passed","Sun Sep 29 21:56:14 MSK 2024","","SignContractRequestPgRepoSuite","",""
"","0","Update: Success","","Sun Sep 29 21:56:13 MSK 2024","passed","Sun Sep 29 21:56:13 MSK 2024","","PublishRequestPgRepoSuite","",""
"","0","Apply: Artist exceeded release limit for the season","","Sun Sep 29 21:56:13 MSK 2024","passed","Sun Sep 29 21:56:13 MSK 2024","","ArtistReleaseLimitPerSeasonCriteriaSuite","",""
"","1","Create: Success","","Sun Sep 29 21:56:13 MSK 2024","passed","Sun Sep 29 21:56:13 MSK 2024","","PublishRequestPgRepoSuite","",""
"","0","Get: Success","","Sun Sep 29 21:56:13 MSK 2024","passed","Sun Sep 29 21:56:13 MSK 2024","","PublishRequestPgRepoSuite","",""
"","0","Update: Failure","","Sun Sep 29 21:56:13 MSK 2024","passed","Sun Sep 29 21:56:13 MSK 2024","","PublishRequestPgRepoSuite","",""
"","0","Get: Failure","","Sun Sep 29 21:56:14 MSK 2024","passed","Sun Sep 29 21:56:14 MSK 2024","","SignContractRequestPgRepoSuite","",""
"","2","Get: Success","","Sun Sep 29 21:56:11 MSK 2024","passed","Sun Sep 29 21:56:11 MSK 2024","","ManagerPgRepoSuite","",""
"","1","SetMeta: Failure","","Sun Sep 29 21:56:13 MSK 2024","passed","Sun Sep 29 21:56:13 MSK 2024","","PublishRequestPgRepoSuite","",""
"","1","GetAllByDate: Failure","","Sun Sep 29 21:56:11 MSK 2024","passed","Sun Sep 29 21:56:11 MSK 2024","","PublicationPgRepoSuit","",""
